Year,Latdef,Londef,Mwdef
1005,43.463,11.879,4.93
1005,41.488,13.831,5.14
1019,41.129,14.777,4.72
1044,41.129,14.777,4.72
1046,,,
1065,45.544,10.214,5.14
1087,41.128,16.864,4.93
1091,41.895,12.482,5.14
1094,41.129,14.777,4.72
1117,45.309,11.023,6.69
1117,,,
1120,41.377,13.917,5.78
1125,37.082,15.285,5.78
1125,41.344,14.897,5.57
1139,41.129,14.777,4.51
1148,43.777,11.249,5.14
1160,41.746,13.215,4.68
1161,41.568,13.334,5.14
1168,43.716,10.401,4.51
1169,37.215,14.949,6.41
1170,41.568,13.334,5.57
1172,38.187,15.549,5.57
1174,44.498,11.340,4.09
1182,44.419,8.898,4.72
1183,45.438,10.994,4.93
1184,39.395,16.193,6.74
1194,44.068,12.078,4.93
1196,43.932,10.913,4.72
1197,,,
1198,40.817,14.167,5.14
1209,,,
1217,44.419,8.898,4.51
1222,45.535,10.621,5.84
1223,41.873,15.981,5.78
1230,38.108,15.647,4.51
1231,41.488,13.831,5.14
1234,44.836,11.618,5.14
1242,45.549,11.549,4.51
1246,42.732,12.736,5.35
1249,44.647,10.925,4.93
1255,38.187,15.549,4.93
1258,,,
1268,45.735,12.079,5.35
1269,43.589,12.064,5.35
1269,43.558,13.564,5.57
1270,43.570,12.141,5.35
1273,40.638,15.805,5.78
1275,40.725,13.911,5.78
1276,42.721,12.091,5.57
1276,44.627,8.482,5.12
1277,42.732,12.736,5.57
1279,,,
1279,44.129,11.921,5.55
1279,43.093,12.872,6.31
1280,,,
1280,44.817,10.682,4.51
1284,45.438,12.335,4.72
1285,44.836,11.618,5.14
1287,42.880,11.678,4.93
1293,43.932,10.913,5.57
1293,41.304,14.548,5.78
1294,,,
1295,,,
1295,46.947,9.505,6.04
1298,42.404,12.867,4.51
1298,42.575,12.902,6.20
1303,,,
1304,45.010,10.149,5.11
1304,45.352,8.954,4.51
1306,43.843,10.505,4.72
1308,44.059,12.567,5.35
1310,38.250,15.667,5.14
1311,44.885,7.327,4.72
1315,42.356,13.396,5.57
1320,43.321,11.328,5.14
1322,43.716,10.401,4.51
1322,46.200,6.150,3.90
1323,45.200,14.700,5.99
1323,44.572,11.133,4.30
1325,43.777,11.249,4.51
1328,42.856,13.018,6.38
1334,45.438,10.994,4.93
1339,44.836,11.618,4.72
1345,44.810,10.564,4.51
1345,43.777,11.249,4.72
1345,43.777,11.249,4.72
1346,44.836,11.618,4.93
1348,46.578,13.541,7.02
1348,41.925,13.095,5.57
1349,41.594,14.231,4.51
1349,42.270,13.118,5.88
1349,,,
1349,,,
1349,41.560,13.901,6.59
1352,37.502,15.087,5.35
1352,43.469,12.127,6.44
1353,,,
1358,43.570,12.141,4.93
1361,41.205,15.561,5.99
1361,43.321,11.328,4.93
1364,46.083,13.450,4.72
1365,45.337,12.018,4.79
1365,44.498,11.340,5.35
1365,45.438,10.994,4.51
1367,41.540,13.867,5.14
1369,44.913,8.615,4.93
1373,45.549,11.549,4.51
1373,45.549,11.549,4.51
1376,45.549,11.549,4.93
1376,45.549,11.549,4.51
1377,38.675,15.899,5.35
1383,44.801,10.329,4.09
1383,44.217,12.049,5.35
1386,40.855,14.260,5.35
1389,43.837,13.018,5.14
1389,46.406,13.197,4.93
1389,43.527,12.299,5.99
1392,46.146,12.222,4.09
1393,43.996,11.912,5.14
1396,45.584,9.274,5.35
1398,42.333,13.500,4.72
1399,44.441,10.925,5.14
1401,46.146,12.222,4.30
1402,45.438,10.994,4.72
1403,46.146,12.222,4.72
1403,46.093,13.431,5.57
1404,46.146,12.222,4.30
1405,46.019,11.906,4.09
1406,46.146,12.222,4.09
1406,40.833,14.250,4.72
1409,44.836,11.618,4.72
1409,44.801,10.329,5.14
1410,44.836,11.618,4.93
1410,,,
1411,44.836,11.618,5.14
1411,46.146,12.222,4.09
1414,41.882,16.180,5.78
1414,43.271,11.118,5.61
1420,43.321,11.328,4.51
1423,42.333,13.500,4.72
1424,44.167,11.917,4.72
1425,44.833,11.667,4.72
1426,43.777,11.249,4.51
1428,44.146,12.048,5.45
1429,38.187,15.549,4.93
1433,44.498,11.340,4.72
1436,43.321,11.328,4.93
1438,41.787,12.677,5.35
1438,44.844,10.239,5.57
1445,45.438,10.994,4.51
1448,38.250,15.500,4.72
1449,44.885,7.327,4.30
1449,43.234,11.560,4.72
1450,38.250,14.750,4.72
1453,43.785,11.284,5.30
1455,,,
1455,,,
1456,41.302,14.711,7.22
1456,43.570,12.141,4.51
1457,40.855,14.260,4.72
1457,41.106,14.214,4.51
1458,43.463,12.236,5.78
1458,43.457,12.239,4.72
1461,40.500,15.250,5.14
1461,42.313,13.544,6.41
1465,44.695,10.527,4.51
1465,43.351,12.577,4.72
1466,40.765,15.334,6.05
1466,42.356,13.396,4.30
1466,43.351,12.577,4.72
1467,43.321,11.328,4.51
1467,43.321,11.328,4.93
1470,44.162,11.037,5.57
1471,,,
1471,43.250,12.500,4.72
1472,44.059,12.567,5.14
1472,,,
1473,44.059,12.567,4.51
1474,44.647,10.925,4.30
1474,43.603,13.507,5.14
1477,42.955,12.704,4.51
1477,42.955,12.704,4.93
1479,44.217,12.049,4.30
1480,42.919,13.835,4.93
1481,43.779,10.453,4.51
1481,43.843,10.505,4.51
1481,44.274,10.130,5.55
1483,44.836,11.618,4.51
1483,44.156,12.229,5.68
1484,43.570,12.141,5.14
1484,42.090,12.562,4.91
1485,45.356,11.722,4.30
1486,43.321,11.328,4.51
1489,43.570,12.141,5.14
1490,38.000,14.750,4.72
1491,,,
1492,44.217,12.049,4.93
1493,46.267,13.133,4.72
1494,38.187,15.549,5.35
1494,43.691,7.252,4.51
1496,42.805,12.742,4.30
1497,,,
1498,46.500,7.430,4.30
1498,42.356,13.396,4.51
1498,,,
1498,46.500,7.430,4.20
1499,38.187,15.549,5.35
1501,44.519,10.844,5.98
1502,42.383,12.950,5.14
1502,44.331,7.487,4.30
1502,43.462,13.087,4.72
1502,,,
1504,46.780,10.190,5.00
1504,43.697,11.816,5.14
1504,,,
1505,44.508,11.231,5.57
1505,,,
1505,,,
1505,,,
1505,,,
1507,44.885,7.327,4.30
1508,46.000,14.500,5.14
1508,44.833,11.667,4.72
1509,38.099,15.684,5.57
1509,44.323,11.864,5.03
1511,46.198,13.431,6.98
1511,,,
1511,,,
1512,46.322,9.402,4.72
1512,45.137,11.977,3.87
1513,38.167,15.500,4.72
1514,46.283,13.150,5.14
1516,46.283,13.150,4.72
1517,41.011,15.210,5.35
1521,,,
1522,46.000,13.250,4.72
1522,44.981,10.051,4.80
1523,46.267,13.133,5.14
1524,46.270,7.270,6.40
1525,46.267,13.133,4.72
1527,43.932,10.913,5.35
1529,45.751,12.786,4.30
1530,43.321,11.328,4.72
1536,,,
1536,44.419,8.898,4.72
1536,44.364,10.933,5.29
1537,37.502,15.087,4.51
1537,44.307,8.480,4.72
1538,40.822,14.123,5.35
1540,43.160,13.716,4.93
1540,45.544,10.214,4.30
1541,44.761,8.909,5.24
1542,44.006,11.385,5.94
1542,37.367,14.803,4.30
1542,37.215,14.944,6.77
1545,44.473,9.825,5.25
1545,43.067,11.643,5.35
1547,44.697,10.631,5.14
1547,,,
1547,44.307,8.480,4.51
1549,44.307,8.480,4.93
1549,44.705,7.612,4.30
1549,38.250,15.667,4.72
1549,46.146,12.222,4.93
1550,44.381,7.538,4.93
1551,43.777,11.249,4.51
1554,43.777,11.249,4.93
1556,39.303,16.252,5.14
1557,40.750,14.000,5.14
1558,43.514,12.190,5.14
1558,43.457,11.564,5.82
1559,,,
1559,38.167,13.333,4.72
1560,41.248,16.485,5.56
1561,,,
1561,40.685,14.717,5.57
1561,40.563,15.505,6.83
1561,44.781,11.454,4.51
1562,38.167,13.333,4.72
1564,40.750,14.167,5.14
1564,44.019,7.276,5.68
1566,37.877,14.948,4.09
1570,40.750,14.167,5.14
1570,44.824,11.632,5.46
1571,47.300,11.400,5.14
1572,47.300,11.400,5.57
1572,44.850,10.422,4.72
1574,44.833,11.294,4.72
1574,45.400,14.100,5.57
1575,40.855,14.260,4.93
1575,46.083,14.500,5.14
1576,45.694,9.670,4.51
1577,41.683,12.783,4.72
1578,37.508,13.083,5.14
1582,40.822,14.123,5.35
1584,44.466,7.362,4.93
1584,46.330,6.970,6.40
1584,46.320,6.980,4.70
1584,43.862,11.992,5.80
1586,44.583,11.000,4.72
1590,46.083,14.500,5.14
1591,44.697,10.631,4.72
1591,44.400,12.038,5.19
1592,42.877,12.747,5.14
1593,45.694,9.670,4.93
1593,43.274,12.679,5.35
1595,47.300,11.500,4.72
1595,43.351,12.577,4.51
1597,43.987,11.429,5.18
1599,38.147,15.598,5.14
1599,46.780,9.390,3.90
1599,42.724,13.021,5.99
1599,,,
1600,44.113,11.548,5.35
1600,43.777,11.249,4.72
1601,38.250,15.667,4.72
1603,43.321,11.328,4.51
1606,45.694,9.670,4.93
1608,44.697,10.631,4.51
1609,38.968,16.353,5.35
1610,,,
1611,44.808,7.245,4.51
1611,44.010,11.359,5.14
1612,43.946,7.608,4.93
1612,43.246,12.853,5.06
1613,38.122,14.788,5.57
1614,43.106,12.386,4.93
1616,42.750,12.700,4.72
1618,43.883,7.283,5.57
1619,39.000,16.500,5.14
1621,46.167,14.500,5.14
1621,,,
1622,46.180,14.658,5.35
1622,46.820,10.230,5.00
1624,44.642,11.848,5.47
1624,37.270,14.742,5.57
1625,46.000,14.500,5.14
1625,40.961,15.818,5.78
1625,44.059,12.567,4.72
1626,46.083,14.500,4.72
1626,38.851,16.456,6.03
1626,43.333,13.500,5.14
1627,42.694,13.248,5.35
1627,41.737,15.342,6.66
1627,,,
1627,,,
1627,,,
1628,41.685,15.381,4.51
1628,44.801,10.329,4.93
1630,43.894,10.689,4.51
1631,43.052,12.855,5.14
1631,40.833,14.417,5.14
1634,40.665,16.607,4.93
1635,38.187,15.549,4.51
1638,39.048,16.289,7.03
1638,39.279,16.812,6.89
1639,42.639,13.261,5.93
1640,,,
1641,46.083,14.500,4.72
1641,44.377,9.882,4.72
1642,45.435,9.669,5.04
1643,37.783,14.599,4.93
1644,43.950,7.217,5.57
1646,43.550,10.321,4.72
1646,42.356,13.396,4.51
1646,41.727,15.764,6.61
1647,41.732,15.558,5.89
1648,43.932,10.913,4.51
1649,38.187,15.549,4.51
1653,45.033,10.200,4.30
1653,44.215,12.058,4.51
1654,41.635,13.683,6.29
1655,44.060,11.842,4.72
1656,39.303,16.252,5.35
1657,41.726,15.393,6.37
1659,38.694,16.249,6.55
1661,38.167,13.250,4.72
1661,45.705,9.799,4.68
1661,44.734,10.863,4.93
1661,44.021,11.898,6.09
1666,44.641,11.113,4.30
1667,42.732,12.736,5.14
1668,43.514,12.190,4.30
1669,46.083,14.533,4.72
1670,45.950,14.333,4.51
1670,47.283,11.500,5.57
1671,44.674,10.866,5.25
1672,43.941,12.576,5.61
1672,42.356,13.396,4.51
1679,43.209,11.556,4.51
1680,44.688,8.803,5.14
1683,46.025,10.864,4.51
1684,46.083,14.500,5.14
1685,46.280,7.630,6.10
1685,40.750,14.750,4.72
1686,46.000,14.500,4.72
1686,38.167,13.250,4.72
1687,44.333,11.750,4.72
1687,40.667,14.500,5.14
1687,38.675,15.899,5.14
1688,41.200,14.900,4.72
1688,44.390,11.942,5.78
1688,41.283,14.561,6.98
1688,41.687,15.337,5.35
1688,44.417,12.000,5.14
1689,44.417,12.000,4.72
1689,41.272,16.288,4.93
1689,47.300,11.400,5.62
1690,42.955,12.704,5.14
1690,43.457,12.239,4.93
1690,46.146,12.222,4.51
1690,46.634,13.882,6.54
1690,43.579,13.588,5.56
1691,46.092,14.447,5.35
1691,45.333,11.833,4.72
1691,41.250,15.917,4.72
1692,43.837,13.018,4.30
1693,39.849,16.219,5.67
1693,37.141,15.035,6.21
1693,,,
1693,37.140,15.013,7.41
1693,36.858,14.761,4.72
1693,43.450,12.338,4.93
1693,41.653,13.922,5.26
1693,37.590,15.307,4.72
1693,36.858,14.761,4.30
1693,36.858,14.761,4.72
1693,,,
1693,45.280,10.644,5.22
1693,37.218,15.081,4.94
1694,43.620,12.091,5.14
1694,37.558,15.127,4.51
1694,40.862,15.406,6.79
1695,45.801,11.949,6.48
1695,44.836,11.618,4.51
1695,42.613,12.110,5.67
1695,46.880,9.670,3.90
1696,36.970,15.023,4.51
1697,43.750,11.250,4.72
1697,43.321,11.328,4.51
1697,43.321,11.328,4.93
1697,,,
1697,,,
1697,,,
1697,,,
1698,37.292,14.789,5.86
1699,41.333,14.333,4.72
1699,42.479,12.070,4.72
1700,46.433,12.868,5.59
1702,41.129,14.777,4.93
1702,41.120,14.989,6.54
1702,,,
1702,,,
1702,42.833,13.083,5.14
1702,42.917,12.667,5.14
1703,42.708,13.071,6.74
1703,,,
1703,42.434,13.292,6.72
1703,41.500,13.833,4.72
1703,42.750,12.750,5.14
1703,46.083,14.500,4.72
1703,44.781,7.505,4.93
1704,44.238,8.413,4.30
1704,,,
1704,42.750,12.750,5.14
1705,43.321,11.328,3.87
1705,41.500,13.833,5.14
1706,38.203,15.640,4.63
1706,47.300,11.400,4.72
1706,42.076,14.080,6.83
1706,47.300,11.500,4.93
1707,42.699,12.617,5.13
1708,39.955,16.034,5.49
1711,41.483,13.800,4.51
1712,43.513,12.734,4.93
1712,41.557,14.667,4.93
1712,,,
1712,46.250,7.010,4.70
1713,40.589,17.113,4.51
1714,42.517,12.521,5.35
1714,40.750,14.750,5.14
1715,38.271,16.154,4.51
1716,46.083,13.617,5.14
1716,42.750,13.000,5.14
1716,37.502,15.087,4.72
1717,45.407,11.876,4.30
1717,36.950,14.532,4.93
1717,38.099,15.211,4.76
1717,,,
1718,37.599,14.619,5.32
1718,41.483,13.800,4.51
1719,46.317,13.117,4.93
1719,42.876,13.047,5.53
1719,,,
1720,44.250,10.333,4.72
1720,41.261,15.920,5.32
1720,,,
1720,38.229,15.884,4.51
1721,45.300,14.400,6.05
1721,43.052,12.855,5.14
1723,41.250,14.000,4.72
1723,41.483,13.800,5.14
1724,38.250,15.667,5.14
1724,43.206,11.008,5.14
1725,43.454,12.428,4.93
1725,44.207,11.573,5.43
1726,,,
1726,38.121,13.353,5.58
1727,36.915,15.046,4.83
1727,37.500,13.000,5.14
1727,47.300,11.400,4.93
1727,43.610,12.819,5.19
1728,41.283,13.983,5.14
1728,39.000,16.250,4.72
1729,46.630,7.630,5.60
1729,43.773,11.704,4.87
1729,38.154,15.139,4.93
1730,42.753,13.120,5.92
1730,43.351,12.577,5.35
1731,41.274,15.757,6.53
1731,43.670,12.041,5.35
1731,41.500,13.767,5.14
1731,,,
1731,41.178,16.000,4.93
1731,44.000,11.000,4.93
1732,44.871,10.468,4.65
1732,38.170,15.333,4.30
1732,44.286,11.881,4.72
1732,41.064,15.059,6.64
1733,43.603,13.507,4.51
1733,43.603,13.507,4.51
1735,41.038,14.387,4.30
1735,38.678,16.129,4.87
1736,37.897,13.562,4.93
1737,40.920,14.660,5.14
1737,43.563,11.166,4.30
1738,38.704,16.130,4.93
1738,42.626,12.095,4.93
1738,44.906,10.028,5.14
1739,41.500,15.500,5.14
1739,38.098,14.744,5.13
1740,44.124,10.590,5.24
1740,38.914,16.586,4.93
1740,37.582,12.840,4.93
1740,43.113,12.788,4.72
1741,43.425,13.005,6.21
1741,41.029,14.932,5.35
1741,43.321,11.328,5.14
1742,42.084,13.546,4.51
1742,43.550,10.321,4.90
1743,42.614,12.074,5.01
1743,39.852,18.777,7.13
1743,44.836,11.618,4.93
1743,39.132,16.081,5.14
1743,38.694,16.371,5.68
1744,39.040,16.781,5.74
1744,43.917,13.000,4.72
1745,42.732,12.736,5.14
1745,41.483,13.800,4.72
1746,44.091,10.448,5.06
1746,46.033,13.383,5.14
1747,43.230,12.785,4.51
1747,43.204,12.769,5.94
1747,38.167,15.667,4.72
1747,43.278,12.846,5.30
1748,43.113,12.788,4.72
1748,41.783,12.683,4.72
1750,41.667,12.583,4.72
1750,42.356,13.396,4.93
1750,45.395,14.408,4.93
1751,42.594,12.593,5.09
1751,43.225,12.739,6.25
1751,38.167,13.417,4.72
1751,44.250,9.250,4.72
1752,43.800,7.733,4.72
1752,43.333,12.667,4.72
1752,43.467,12.250,4.72
1753,44.941,7.181,5.19
1753,43.983,11.920,4.93
1753,42.617,12.550,5.14
1754,41.833,12.783,4.72
1754,46.240,7.190,4.70
1755,45.967,12.600,4.51
1755,42.742,11.868,4.51
1755,46.320,7.980,6.10
1755,46.290,8.060,3.90
1756,41.498,13.060,4.51
1756,45.893,11.820,3.87
1756,45.669,12.244,4.93
1756,41.623,15.908,4.93
1759,41.884,13.097,3.83
1759,40.421,15.735,4.30
1759,,,
1759,42.612,12.133,4.30
1759,41.483,13.800,4.72
1760,42.500,13.000,5.14
1760,40.801,14.404,4.73
1761,41.483,13.800,4.72
1761,38.914,16.586,4.93
1762,44.004,11.506,5.11
1762,46.500,13.000,4.51
1762,40.746,13.909,4.93
1762,42.308,13.585,5.99
1766,,,
1766,42.750,12.917,5.14
1767,,,
1767,44.132,10.123,5.35
1767,,,
1767,44.548,8.681,5.16
1767,46.483,12.983,4.51
1767,45.272,7.502,5.14
1767,42.820,12.751,5.44
1767,39.375,16.279,5.98
1768,43.939,11.901,5.87
1768,43.565,10.946,4.51
1770,46.480,7.180,5.70
1770,38.108,15.647,4.51
1770,46.500,13.000,4.51
1770,43.702,11.408,4.93
1771,43.550,10.321,4.51
1771,44.141,11.161,4.72
1772,43.570,12.141,4.72
1773,41.839,12.831,4.93
1773,41.717,12.667,4.51
1773,44.667,6.633,4.72
1774,43.548,12.049,4.51
1774,44.801,10.329,4.30
1774,45.554,10.108,4.72
1775,46.483,13.000,4.51
1775,42.166,8.808,4.51
1776,,,
1776,45.432,14.251,4.51
1776,46.233,12.706,5.78
1777,,,
1777,41.667,13.500,5.14
1777,42.880,11.757,5.04
1778,43.603,13.507,4.72
1778,42.032,13.426,4.93
1778,44.167,10.167,4.72
1778,46.483,13.000,4.72
1778,44.217,12.049,4.51
1778,43.570,12.141,4.72
1779,,,
1779,,,
1779,44.444,11.479,5.24
1779,,,
1779,43.321,11.328,4.51
1779,,,
1779,40.750,14.250,5.14
1779,44.462,11.389,4.30
1779,44.425,11.527,4.99
1779,44.061,10.860,4.64
1780,,,
1780,44.568,11.309,5.13
1780,37.861,15.317,5.55
1780,38.187,15.549,4.93
1780,44.417,12.198,4.51
1780,46.500,13.000,4.51
1780,38.081,14.982,5.35
1781,43.168,11.545,5.11
1781,40.900,12.967,4.72
1781,41.717,12.667,4.51
1781,44.251,11.798,5.94
1781,40.900,12.967,4.72
1781,43.597,12.512,6.42
1781,44.266,11.990,5.58
1781,45.501,9.589,4.90
1781,46.500,12.983,4.51
1782,41.167,14.667,4.72
1782,46.500,12.983,4.51
1782,41.817,12.717,5.14
1782,46.500,13.000,4.51
1783,38.297,15.970,7.02
1783,,,
1783,38.580,16.201,6.62
1783,,,
1783,38.785,16.464,6.98
1783,38.206,15.395,4.51
1783,45.879,10.808,4.72
1783,41.667,15.333,5.14
1783,38.600,16.100,5.14
1784,41.750,12.667,4.72
1784,38.600,16.100,5.14
1784,46.083,14.500,4.93
1784,38.293,16.210,5.14
1785,38.100,15.650,4.93
1785,38.600,16.100,4.93
1785,44.667,6.617,4.51
1785,43.073,12.955,5.14
1785,45.020,6.842,4.30
1785,42.536,12.788,5.66
1785,46.716,10.100,4.51
1786,38.600,16.100,4.72
1786,38.102,15.021,6.15
1786,45.298,9.595,5.05
1786,46.083,14.500,4.72
1786,42.356,13.396,4.94
1786,44.731,7.909,4.36
1786,43.991,12.565,5.62
1786,46.500,13.000,4.51
1787,46.500,12.983,4.51
1787,44.836,11.618,4.51
1787,,,
1787,47.160,9.810,5.50
1787,38.183,15.550,4.93
1787,43.321,11.328,4.09
1787,46.500,13.000,4.51
1787,43.723,11.767,4.30
1788,43.837,13.018,4.51
1788,46.398,13.019,5.14
1789,45.938,12.303,4.09
1789,43.510,12.217,5.84
1790,38.167,16.000,4.72
1790,44.167,10.000,4.93
1791,42.356,13.396,5.35
1791,42.950,12.861,5.49
1791,38.636,16.268,6.03
1792,39.973,16.087,4.51
1792,42.633,12.733,5.14
1792,46.483,12.983,4.72
1793,43.025,12.811,5.35
1793,40.800,13.433,5.14
1794,47.300,11.400,4.72
1794,46.306,12.821,6.04
1794,41.110,14.923,5.22
1794,40.750,14.417,5.14
1794,46.297,12.795,5.33
1795,46.512,12.992,4.30
1795,41.918,12.871,4.72
1796,43.538,11.868,5.02
1796,40.746,13.909,5.57
1796,44.615,11.670,5.61
1797,46.500,13.000,4.51
1798,43.342,11.464,4.74
1798,,,
1799,44.771,10.779,4.30
1799,45.404,10.271,5.01
1799,43.193,13.151,6.13
1799,46.483,12.983,4.72
1800,41.683,12.783,5.14
1801,46.500,13.000,4.72
1801,44.468,11.420,5.07
1802,,,
1802,45.424,9.839,5.64
1802,43.072,11.548,4.99
1803,46.483,13.000,4.51
1803,42.250,13.500,4.72
1804,43.453,11.105,4.93
1804,,,
1805,43.451,13.479,4.51
1805,41.500,14.474,6.62
1805,41.167,14.333,5.14
1805,46.570,9.780,4.70
1806,44.862,10.671,5.19
1806,43.850,7.617,4.51
1806,43.700,7.267,4.72
1806,,,
1806,41.718,12.725,5.54
1807,41.594,14.231,4.51
1807,43.783,7.633,4.51
1807,40.300,15.840,4.55
1808,44.838,7.248,5.69
1808,,,
1808,,,
1808,44.817,7.217,4.93
1808,43.500,10.167,4.72
1809,42.356,13.396,4.72
1809,43.333,13.500,5.14
1810,45.764,10.809,4.72
1810,41.717,12.667,5.14
1810,44.898,10.712,5.29
1811,41.850,12.567,4.72
1811,46.870,9.530,4.00
1811,44.572,10.728,5.25
1812,41.895,12.482,4.93
1812,43.659,11.140,5.16
1812,46.028,12.589,5.71
1813,44.249,11.972,5.27
1813,46.760,10.190,5.00
1814,43.633,10.361,5.15
1814,47.300,11.400,4.72
1815,45.664,11.472,4.09
1815,43.932,10.913,4.72
1815,42.832,13.015,5.45
1817,37.508,13.083,4.09
1817,45.900,6.833,5.14
1817,38.167,15.500,4.72
1818,37.603,15.140,6.23
1818,43.900,7.982,5.45
1818,37.204,14.756,5.51
1818,37.813,14.082,5.16
1818,44.696,10.295,5.28
1819,43.865,7.932,4.93
1819,37.939,14.042,5.31
1819,46.000,14.017,4.93
1819,42.252,11.757,5.14
1820,47.350,11.700,4.93
1820,37.267,14.683,4.72
1821,42.417,12.833,5.14
1821,38.944,16.452,5.14
1822,37.747,14.398,4.46
1822,46.050,14.500,4.72
1823,38.127,14.418,6.47
1824,43.750,12.000,4.72
1824,39.540,16.588,5.35
1825,39.947,15.973,4.51
1825,41.583,14.167,4.72
1826,40.520,15.727,5.76
1826,,,
1826,44.083,11.750,4.72
1826,40.451,17.678,5.36
1827,46.290,8.060,3.90
1827,46.706,10.115,5.19
1827,40.900,12.967,4.51
1827,46.580,7.900,4.30
1828,40.745,13.899,5.78
1828,38.526,15.996,5.14
1828,44.113,12.007,4.72
1828,44.000,14.000,5.14
1828,37.800,12.433,5.14
1828,44.173,12.092,4.35
1828,44.821,9.047,5.76
1828,,,
1828,,,
1829,41.754,12.680,4.79
1829,41.775,15.367,4.30
1829,45.136,10.024,4.51
1830,44.223,11.083,4.74
1830,46.500,14.300,4.72
1831,40.082,15.786,5.47
1831,38.224,15.240,4.51
1831,38.500,16.500,4.93
1831,43.855,7.849,5.46
1831,44.749,10.480,4.69
1831,44.752,10.544,5.54
1831,,,
1831,41.500,14.500,4.72
1831,43.833,7.833,4.72
1831,37.500,13.083,4.72
1832,42.980,12.605,6.33
1832,40.833,14.083,4.72
1832,39.079,16.919,6.59
1832,44.778,10.832,4.80
1832,,,
1832,,,
1832,44.765,10.494,5.53
1832,38.767,16.267,4.72
1832,37.760,14.845,4.51
1832,,,
1832,,,
1832,43.005,13.070,5.32
1834,44.432,9.851,5.83
1834,,,
1834,44.480,11.319,4.85
1835,43.962,11.416,4.72
1835,46.680,7.830,4.20
1835,44.488,9.767,4.30
1835,44.454,9.686,4.63
1835,44.330,7.551,4.93
1835,39.330,16.293,5.83
1835,41.500,13.833,4.72
1836,39.567,16.737,6.20
1836,,,
1836,,,
1836,45.807,11.823,5.50
1836,46.067,14.650,4.72
1836,,,
1836,40.142,15.776,6.02
1837,46.320,7.970,5.70
1837,41.517,13.767,4.72
1837,44.175,10.182,5.81
1837,46.567,14.767,4.72
1838,42.763,12.788,4.96
1838,41.000,9.250,4.72
1838,42.840,12.909,5.32
1838,43.805,13.007,4.72
1838,,,
1838,45.200,14.500,5.14
1839,45.200,6.200,4.51
1839,45.544,10.214,4.30
1839,45.900,6.133,5.14
1839,39.300,16.250,4.72
1839,38.100,15.650,4.72
1840,38.100,15.650,4.72
1840,46.217,14.733,5.35
1841,41.626,15.639,5.27
1841,40.750,13.917,5.14
1841,38.100,15.650,5.14
1841,43.791,12.568,4.51
1841,42.082,14.080,4.95
1841,38.100,15.650,4.72
1841,46.417,13.000,4.72
1841,45.167,11.110,4.19
1841,42.250,13.917,4.72
1842,46.250,7.010,4.70
1843,44.003,11.261,5.12
1843,38.035,13.451,4.51
1844,42.000,17.000,5.57
1844,44.178,12.146,4.51
1844,41.839,12.891,4.93
1845,40.665,16.607,4.54
1845,46.003,14.418,4.30
1846,37.538,14.923,5.02
1846,40.530,16.113,5.24
1846,43.470,10.562,5.91
1846,39.583,16.667,4.72
1848,37.543,15.095,5.45
1848,43.283,11.167,4.72
1848,42.333,13.417,4.72
1848,40.750,13.500,5.14
1848,42.000,17.000,5.14
1848,38.100,15.650,4.72
1849,44.096,11.414,4.72
1849,44.146,7.576,4.30
1849,45.533,6.317,4.72
1849,44.453,9.792,4.72
1850,46.368,13.958,4.83
1850,46.803,11.951,4.72
1850,44.572,11.133,4.30
1850,41.817,15.783,4.51
1850,41.833,13.533,5.14
1850,42.048,13.514,4.93
1851,38.900,16.600,4.51
1851,38.167,15.583,4.72
1851,45.941,10.559,5.12
1851,40.952,15.667,6.38
1851,,,
1851,46.250,7.450,5.10
1852,38.100,15.650,5.14
1852,41.000,15.667,4.72
1852,38.100,15.650,5.14
1852,46.480,9.780,4.50
1852,46.480,9.780,3.90
1852,41.667,15.333,4.93
1853,46.383,13.100,5.14
1853,40.818,15.215,5.56
1853,43.321,11.328,4.30
1853,41.233,15.183,4.72
1853,43.350,10.867,4.62
1853,42.683,12.667,5.14
1854,43.034,12.584,5.55
1854,39.256,16.295,6.21
1854,44.333,11.750,5.14
